Player ID,Player Name,Number,Position,Handedness,Height,Weight,Birthdate,Birthplace
8475760,Nick Bjugstad,17,C,R,"6'6""",205,17-Jul-92,"Minneapolis,"
8479619,Michael Carcone,53,LW,L,"5'9""",182,19-May-96,"Ajax,"
8483431,Logan Cooley,92,C,L,"6'0""",191,4-May-04,"Pittsburgh,"
8478474,Lawson Crouse,67,LW,L,"6'4""",214,23-Jun-97,"Mt. Brydges,"
8482699,Dylan Guenther,11,RW,R,"6'1""",191,10-Apr-03,"Edmonton,"
8480849,Barrett Hayton,27,C,L,"6'1""",200,9-Jun-00,"Peterborough,"
8479343,Clayton Keller,9,C,L,"5'10""",175,29-Jul-98,"Chesterfield,"
8477021,Alexander Kerfoot,15,C,L,"5'11""",185,11-Aug-94,"Vancouver,"
8481711,Matias Maccelli,63,LW,L,"5'11""",185,14-Oct-00,"Turku,"
8480855,Jack McBain,22,C,L,"6'4""",219,6-Jan-00,"Toronto,"
8477070,Liam O'Brien,38,C,L,"6'1""",215,29-Jul-94,"Halifax,"
8477951,Nick Schmaltz,8,C,R,"6'0""",184,23-Feb-96,"Madison,"
8478831,Kevin Stenlund,82,C,R,"6'5""",213,20-Sep-96,"Stockholm,"
8474145,Robert Bortuzzo,41,D,R,"6'4""",206,18-Mar-89,"Thunder Bay,"
8474013,Ian Cole,28,D,L,"6'1""",237,21-Feb-89,"Ann Arbor,"
8480434,Sean Durzi,50,D,R,"6'1""",199,21-Oct-98,"Mississauga,"
8480891,Michael Kesselring,7,D,R,"6'4""",215,13-Jan-00,"New Hampton,"
8481609,Vladislav Kolyachonok,52,D,L,"6'2""",195,26-May-01,"Minsk,"
8483472,Maveric Lamoureux,10,D,R,"6'6""",196,13-Jan-04,"Laval,"
8476874,Olli Maatta,2,D,L,"6'2""",207,22-Aug-94,"Jyväskylä,"
8479410,Mikhail Sergachev,98,D,L,"6'3""",212,25-Jun-98,"Nizhnekamsk,"
8479976,Juuso Valimaki,4,D,L,"6'4""",221,6-Oct-98,"Tampere,"
8478971,Connor Ingram,39,G,L,"6'1""",218,31-Mar-97,"Saskatoon,"
8478872,Karel Vejmelka,70,G,R,"6'4""",224,25-May-96,"Trebic,"
